Timestamp,AccumulatorCurrent,AccumulatorVoltage,BamocarCurrent,ControllerTempRaw,DAQCurrent,GlobalErrorFlag,InternalRailVoltage,MotorTempRaw,PDMIntTemperature,PackVoltage,PumpsCurrent,ResetSource,ShutdownResetCurrent,StateOfCharge,Status,SteeringAngle,TCUCurrent,TSALCurrent,Therm1,Therm10,Therm11,Therm12,Therm13,Therm14,Therm15,Therm16,Therm2,Therm3,Therm4,Therm5,Therm6,Therm7,Therm8,Therm9,TotalCurrent,TractiveVoltage,azimuth,east_vel,gnss_height,gnss_lat,gnss_long,gnss_seconds,gnss_week,north_vel,pitch,roll,status,up_vel
0.0,3.0,358.1103515625,0.0,18973.05142254799,0.0,0.0,9.471,12200.44113803839,16.0,362.8990644735369,0.0,130.0,0.0,99.94195451168319,,39.820922013009145,0.0,1.0,0.0,32.208238468860046,19.487625260276744,0.0,0.0,0.0,20.935398331541037,20.118483169703584,0.0,0.0,0.0,41.254773051081536,35.571178134185274,41.242472414928905,0.0,38.80289400087104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.022321474849718,0.0,0.0,0.0,0.0,9.0,0.0
0.1,2.70495053462576,358.1103515625,0.0,18972.683014928592,0.0,0.0,9.471,12200.146411942873,16.0,362.8975199213769,0.0,130.0,0.0,99.94175494644827,,39.825705447283596,0.0,1.0,0.0,21.38957971375335,32.81747358713572,0.0,0.0,0.0,35.25554666642622,33.8798484277507,0.0,0.0,0.0,27.397408200453626,23.622917190857635,27.38923931416787,0.0,25.769108582526233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.097443598357088,0.0,0.0,0.0,0.0,9.0,0.0
0.2,2.0245718905856807,358.1103515625,0.0,18972.189372924295,0.0,0.0,9.471,12199.751498339436,16.0,362.8957837700113,0.0,130.0,0.0,99.94148754214564,,39.826099370969644,0.0,1.0,0.059329808623262835,6.950371769701261,50.67850585506112,0.0,0.0,0.05323597044267336,54.43608624759923,52.260177008573315,0.044367675267593915,0.0,0.0435654338070586,8.884877407276857,7.666775085888545,8.827855914579802,0.0,8.30566979259003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.198269191587281,0.0,0.0,0.0,0.0,9.0,0.0
0.30000000000000004,2.2704868862293073,358.1092923750965,0.0,18971.715978171214,0.0,0.0,9.471,12199.372782536971,16.0,362.89517916699384,0.0,130.0,0.0,99.94119415692835,,39.82148691450378,0.0,1.0,18.730457557867148,25.909069287832303,18.891655598846363,9.080079730101033,28.275516587065148,24.17723542780661,18.968569030596434,18.079350493691535,11.586493916575224,21.254586541795057,14.157218481561292,38.76085848820487,23.75898558830543,47.1868779331314,12.450962413007957,36.38706275150055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.294746226652949,0.0,0.0,0.0,0.0,9.0,0.0
0.4,2.9741186378108972,358.0859406301437,0.0,18971.212871735053,0.0,0.0,9.471,12198.970297388043,16.0,362.8946299168616,0.0,130.0,0.0,99.94010702145573,,39.82671911608989,0.0,1.0,0.0,37.02990666206869,13.476817361841272,0.0,0.0,0.0,14.478035981464078,13.91309200860127,0.0,0.0,0.0,47.53185138048222,0.0,47.399593444344255,0.0,44.71446511009348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.397491313000438,0.0,0.0,0.0,0.0,9.0,0.0
0.5,2.7048365490352837,358.0552341256631,0.0,18970.722517374215,0.0,0.0,9.471,12198.57801389937,16.0,362.894094588394,0.0,130.0,0.0,99.93877022966585,,39.82218436239907,0.0,1.0,0.0,25.082620730296952,28.219834737172654,0.0,0.0,0.0,30.316340404863585,29.133373750207365,0.0,0.0,0.0,32.19623024345137,0.0,32.10664385369904,0.0,30.28784219603308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.497429340396512,0.0,0.0,0.0,0.0,9.0,0.0
0.6000000000000001,2.3266924955846573,358.02442768172307,0.0,18970.23125913578,0.0,0.0,9.471,12198.18465115249,16.0,362.8937857851208,0.0,130.0,0.0,99.93742908706328,,39.82337551750862,0.0,1.0,0.0,13.096450356370674,43.01083573067375,0.0,0.0,0.0,46.20619324149224,44.40319244676183,0.0,0.0,0.0,16.810696760100832,0.0,16.763920798425474,0.0,15.814265422544624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5980108942592075,0.0,0.0,0.0,0.0,9.0,0.0
0.7000000000000001,2.6539843355466854,357.9927824902501,0.0,18970.495526770632,0.0,0.0,9.471,12198.0,16.0,362.89409955750307,0.0,130.0,0.0,99.93605143002073,,39.824688731145386,0.0,1.0,18.775232835398878,5.791294793965805,45.17373385445856,7.594186548839679,18.14684275027688,16.76212894157873,51.63617379554354,44.927839572863626,11.408449081307063,10.87829783392082,7.972977920415833,13.249323020825345,15.781419575453516,15.529614973164387,4.055406423935802,15.249468451751317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.701063630256121,0.0,0.0,0.0,0.0,9.0,0.0
0.8,2.3045111167240253,357.9530835962699,0.0,18971.31987272656,0.0,0.0,9.471,12198.0,16.0,362.894414034336,0.0,130.0,0.0,99.93503238927437,,39.82385571069885,0.0,1.0,0.09649894119948206,37.128684958482566,10.329976047276705,0.0,12.178900717851304,8.20819121128733,6.758441446723354,10.510410359738447,0.0,12.349470063298487,8.358389144937725,46.521318827397856,7.811408422010752,54.1637974500329,7.9558950917274585,44.075788795202094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.794639818187276,0.0,0.0,0.0,0.0,9.0,0.0
0.9,2.977518000000001,357.8708122759365,0.0,18972.232033232507,0.0,0.0,9.471,12198.0,16.0,362.89476201123216,0.0,130.0,0.0,99.93469121737503,,39.82112732342569,0.0,1.0,0.0,25.834439701998832,27.292085939144112,0.0,0.0,0.0,29.31966736856875,28.175591653642932,0.0,0.0,0.0,33.16127041906071,0.0,33.06899879365673,0.0,31.195680919097036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.897479141087318,0.0,0.0,0.0,0.0,9.0,0.0
