Temperature,Value
1.7578654484202971,9483.236892
2.8837904182619383,9548.412904012312
5.189246512247877,9683.876772694717
6.368801361178328,9749.052784985308
7.387509574017244,9804.963579842433
9.585728151812575,9935.635094679941
10.765283000743025,10000.811106970532
11.784017903966351,10050.97107721378
13.982227584966878,10183.559533589249
15.161788365093862,10247.457584854534
16.180469146148795,10309.278949453697
18.378715155728116,10434.039894549167
19.558258142265487,10501.771828890369
20.630575639760792,10562.119988418694
22.882432828684287,10690.910060635613
24.061981746418198,10757.364033951511
25.08068032106273,10815.351515474757
27.278908537052445,10943.946343646145
28.458463385982895,11009.122355936735
29.477180495616608,11063.11621
31.67540797020675,11191.870782555452
32.85495688794066,11258.324755871348
33.873656203984766,11316.15249226643
36.07189554096797,11442.35114351537
37.25145632109498,11506.249194780654
38.32379622533274,11561.769501546714
40.46840090531883,11688.99762139937
41.64796168544581,11752.895672664656
42.720286432181325,11811.681879828719
44.97212450947153,11944.589826460511
46.15168528959853,12008.487877725798
47.170416485824006,12059.446573609861
49.368629873822385,12191.236304344513
50.54820844753898,12251.30047253388
51.56692481577312,12305.45407098121
53.872400927547375,12436.604821203207
55.05194391408476,12504.336755544411
56.07066028231891,12558.49035399174
58.26891222309477,12681.973338061904
59.44848486561483,12743.315467276578
60.46718492,12800.983458543498
62.66541759,12928.619815945905
63.84498429876912,12991.239906185885
64.86371771919333,13041.71936668546
67.06195853897567,13167.598527678072
68.24151931910266,13231.496578943359
69.31385592823125,13287.726864056809
71.56574738629028,13409.13316146085
72.74531409761381,13471.75325170083
73.76402675885014,13526.705575788976
75.96229427,13646.833912167713
77.14186098034043,13709.454002407692
78.16057586577543,13763.927091111347
80.46611277231419,13881.978740823963
81.73240299160838,13967.399278563047
86.04226788474008,14173.353854593664
89.34586472220761,14349.519520298058
91.36057521724746,14468.480783384664
93.48417009,14588.125406815117
94.69880137841852,14645.238303861233
95.93962463653244,14715.344398374737
98.15960773140989,14822.510558639658
99.26953769934295,14889.361822975037
100.5187712807695,14941.259508514891
102.59945669334999,15062.10128655003
103.77907085424582,15114.497688587566
104.96893944315366,15180.813129542996
107.06012710810441,15262.176648154125
108.23972347541061,15318.406933267575
109.2584598614331,15368.24741
111.56402271695669,15480.707983481401
112.74361908426292,15536.938268594851
113.76237474667411,15582.62537524953
115.96072974198981,15683.903786505009
117.24058829122575,15803.446390747145
118.24564284781363,15801.292698737192
120.6791745,15896.045316705755
121.85877682168277,15950.997640793901
122.7703295665498,15984.437620956067
124.86150438057476,16068.570055122025
126.04113633506017,16117.132574083642
127.11354148245988,16158.59530957134
129.3656194436989,16239.81683251299
130.54526326057743,16285.823429423996
131.61768290645753,16324.162260183166
133.8697878875919,16399.561960676205
135.04947915404273,16435.344869384764
136.12191857057795,16469.423830059583
138.3740512306295,16538.859712434525
139.55375435947337,16572.086699092473
140.6262484748211,16594.380019200584
142.87842133520476,16655.154165737345
144.05816005122787,16680.71338624346
145.1306364,16706.840589427487
147.3828566829419,16757.39105
148.56262505494772,16776.560463141388
149.63515475747468,16791.186017097665
151.88742251700288,16831.51278722953
153.06722054499136,16844.29239748259
154.13974563436545,16859.911921125215
82.75436438,14029.197080291971
84.70330457423346,14102.189781021898
87.20884284851809,14248.175182481751
90.41038279729128,14430.65693430657
,
